,,Input,Change,Gain,Loss ,Avg Gain,Avg Loss,HM,14-day HMA,,
,1.0,44.3389,,,,,,,,,
,2.0,44.0902,-0.24869999999999948,0,0.24869999999999948,,,,,,
,3.0,44.1497,0.059499999999999886,0.059499999999999886,0,,,,,,
,4.0,43.6124,-0.5373000000000019,0,0.5373000000000019,,,,,,
,5.0,44.3278,0.7154000000000025,0.7154000000000025,0,,,,,,
,6.0,44.8264,0.49859999999999616,0.49859999999999616,0,,,,,,
,7.0,45.0955,0.26910000000000167,0.26910000000000167,0,,,,,,
,8.0,45.4245,0.3290000000000006,0.3290000000000006,0,,,,,,
,9.0,45.8433,0.4187999999999974,0.4187999999999974,0,,,,,,
,10.0,46.0826,0.23930000000000007,0.23930000000000007,0,,,,,,
,11.0,45.8931,-0.18950000000000244,0,0.18950000000000244,,,,,,
,12.0,46.0328,0.13970000000000482,0.13970000000000482,0,,,,,,
,13.0,45.614,-0.4188000000000045,0,0.4188000000000045,,,,,,
,14.0,46.282,0.6679999999999993,0.6679999999999993,0,,,HM,HMA,,
,15.0,46.282,0,0,0,0.23838571428571445,0.09959285714285773,2.393602524564285,70.53278948369497,,
,16.0,46.0028,-0.2791999999999959,0,0.2791999999999959,0.22135816326530627,0.11242193877551046,1.9689943588975538,66.31856180517232,,
,17.0,46.0328,0.030000000000001137,0.030000000000001137,0,0.2076897230320702,0.10439180029154542,1.9895214226791218,66.54982993552764,,
,18.0,46.4116,0.37879999999999825,0.37879999999999825,0,0.2199118856726365,0.0969352431278636,2.2686473833109293,69.40630533884433,,
,19.0,46.2222,-0.18939999999999912,0,0.18939999999999912,0.20420389383887677,0.10353986861873042,1.972224772573607,66.3551690562718,,
,20.0,45.6439,-0.5782999999999987,0,0.5782999999999987,0.18961790142181414,0.1374513065745353,1.3795278207776849,57.97485571430819,,
,21.0,46.2122,0.5683000000000007,0.5683000000000007,0,0.21666662274882748,0.12763335610492563,1.697570520442233,62.929606754597,,
,22.0,46.2521,0.03989999999999583,0.03989999999999583,0,0.20404043540962521,0.11851668781171665,1.7216177668901547,63.25714756254528,,
,23.0,45.7137,-0.5383999999999958,0,0.5383999999999958,0.18946611859465198,0.14850835296802228,1.2757943563985856,56.05929871526324,,
,24.0,46.4515,0.7378,0.7378,0,0.2286328244093197,0.1379006134703064,1.6579536425234997,62.37707144318042,,
,25.0,45.7835,-0.6680000000000064,0,0.6680000000000064,0.2123019083800826,0.175764855365285,1.2078746228241368,54.70757308126129,,
,26.0,45.3548,-0.4286999999999992,0,0.4286999999999992,0.19713748635293382,0.19383165141062172,1.0170551863859885,50.4227744114564,,
,27.0,44.0288,-1.3260000000000005,0,1.3260000000000005,0.18305623732772425,0.2747008191670059,0.6663840242006493,39.989823145376604,,
,28.0,44.1783,0.1495000000000033,0.1495000000000033,0,0.18065936323288703,0.2550793320836483,0.7082477508355844,41.46048197570564,,
,29.0,44.2181,0.03979999999999961,0.03979999999999961,0,0.17059798014482364,0.23685937979195915,0.7202500500282703,41.86891609254328,,
,30.0,44.5672,0.34909999999999997,0.34909999999999997,0,0.18334812442019338,0.21994085266396207,0.8336246868167002,45.46321244528675,,
,31.0,43.4205,-1.1467000000000027,0,1.1467000000000027,0.170251829818751,0.28613793461653636,0.5949991567769983,37.30404208985967,,
,32.0,42.6628,-0.7576999999999998,0,0.7576999999999998,0.15809098483169737,0.31982093928678373,0.49431092655861736,33.07952299438848,,
,33.0,43.1314,0.4686000000000021,0.4686000000000021,0,0.180270200200862,0.2969765864805849,0.6070182243563748,37.77295211443486,,
,,,,,,,,,,,
,,,,,,,,,,,
